English,Arden,Pronunciation
I love you.,Me amare tu.,meh ah-MAH-reh too
You always see me.,Tu visae me solvar.,too VEE-sah-eh meh SOLE-var
He loved her sadly.,Mile amaro mila narel.,MEE-leh ah-MAH-roh MEE-lah nah-REL
I sit in the back.,Me sede vi torven.,meh SEH-deh vee TOR-ven
You walk to the map.,Tu pase re naven.,too PAH-seh reh NAH-ven
They stand on the tree.,Se stalne ta silvar.,seh STAL-neh tah SEEL-var
I sleep at night.,Me dremo noveren.,meh DREH-mo noh-VEH-ren
You will wake up tomorrow.,Tu alarbo solivar.,too ah-LAR-boh soh-LEE-var
She will teach them soon.,Mila docae sena veran.,MEE-lah DOH-kai SEH-nah VEH-ran
Maybe I’ll go.,"Meliv, me vare.",MEH-leev meh VAH-reh
"Surely, I am well.",Sanai me es melor.,SAH-nai meh es meh-LOR
"I’m leaving, sadly.","Me vare, dolvai.",meh VAH-reh DOL-vai
You see a beautiful image.,Tu visae miran flarinel.,too VEE-sah-eh MEE-ran flah-REE-nel
I sit in a soft chair.,Me sede vi kalem durethel.,meh SEH-deh vee KAH-lem DOO-reth-el
They carry a heavy box.,Sena portae box tarnel.,SEH-nah POR-tai boks TAR-nel
My name is Kareth.,Melun namor es Kareth.,MEH-loon NAH-mor es KAH-reth
This tree is green.,Ten silvar es davarel.,ten SEEL-var es DAH-vah-rel
Your body is healthy.,Tulun toran es melor.,TOO-loon TOR-an es meh-LOR
They fought with teeth.,Sena valto draskee.,SEH-nah VAL-to DRAHS-kay
You definitely miss me.,Tu sentae me morai.,too SEN-tai meh mor-AI
